Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,Price_Change,Price_Change_Percent,MA_7,MA_30,MA_90,Volatility_7d,Year,Month,Day_of_Week,Quarter
1/3/2022,382.58,400.36,378.68,399.93,103931400,0.1353,21.68,17.35,4.53,364.88,349.98,312.25,0.0545,2022,1,Monday,1
1/4/2022,396.52,402.67,374.35,383.2,100248300,-0.0418,28.32,-13.32,-3.36,368.81,350.12,313.91,0.0578,2022,1,Tuesday,1
1/5/2022,382.22,390.11,360.34,362.71,80119800,-0.0535,29.77,-19.51,-5.1,368.54,349.35,315.3,0.0623,2022,1,Wednesday,1
1/6/2022,359,362.67,340.17,354.9,90336600,-0.0215,22.5,-4.1,-1.14,367.41,348.86,316.54,0.0629,2022,1,Thursday,1
1/7/2022,360.12,360.31,336.67,342.32,84164700,-0.0354,23.64,-17.8,-4.94,364.59,347.87,317.62,0.0642,2022,1,Friday,1
1/10/2022,333.33,353.03,326.67,352.71,91815000,0.0304,26.36,19.38,5.81,364,347.61,318.82,0.0655,2022,1,Monday,1
1/11/2022,351.22,358.62,346.27,354.8,66063300,0.0059,12.35,3.58,1.02,364.37,346.8,320.05,0.0652,2022,1,Tuesday,1
1/12/2022,359.62,371.61,357.53,368.74,83739000,0.0393,14.08,9.12,2.54,359.91,346.37,321.43,0.0365,2022,1,Wednesday,1
1/13/2022,369.69,371.87,342.18,343.85,97209900,-0.0675,29.69,-25.84,-6.99,354.29,345.67,322.46,0.0411,2022,1,Thursday,1
1/14/2022,339.96,350.67,337.79,349.87,72924300,0.0175,12.88,9.91,2.92,352.46,345.28,323.56,0.0386,2022,1,Friday,1
1/18/2022,342.2,356.93,338.69,343.5,66743400,-0.0182,18.24,1.3,0.38,350.83,345.45,324.58,0.0384,2022,1,Tuesday,1
1/19/2022,347.24,351.56,331.67,331.88,75442500,-0.0338,19.89,-15.36,-4.42,349.34,345.3,325.54,0.0382,2022,1,Wednesday,1
1/20/2022,336.58,347.22,331.33,332.09,70488600,0.0006,15.89,-4.49,-1.33,346.39,344.69,326.48,0.0353,2022,1,Thursday,1
1/21/2022,332.11,334.85,313.5,314.63,103416000,-0.0526,21.35,-17.48,-5.26,340.65,343.3,327.21,0.0382,2022,1,Friday,1
1/24/2022,301.59,311.17,283.82,310,151565700,-0.0147,27.35,8.41,2.79,332.26,342.48,327.86,0.0296,2022,1,Monday,1
1/25/2022,304.73,317.09,301.07,306.13,86595900,-0.0125,16.02,1.4,0.46,326.87,341.38,328.46,0.0226,2022,1,Tuesday,1
1/26/2022,317.48,329.23,302,312.47,104867400,0.0207,27.23,-5.01,-1.58,321.53,341.06,329.12,0.0234,2022,1,Wednesday,1
1/27/2022,311.12,311.8,276.33,276.37,147109500,-0.1155,35.47,-34.75,-11.17,311.94,339.62,329.48,0.0445,2022,1,Thursday,1
1/28/2022,277.19,285.83,264,282.12,134789100,0.0208,21.83,4.93,1.78,304.83,338.18,329.88,0.0483,2022,1,Friday,1
1/31/2022,290.9,312.66,287.35,312.24,104436000,0.1068,25.31,21.34,7.34,301.99,338.29,330.56,0.0688,2022,1,Monday,1
2/1/2022,311.74,314.57,301.67,310.42,73138200,-0.0058,12.9,-1.32,-0.42,301.39,338.27,331.22,0.0658,2022,2,Tuesday,1
